region_nord,region_centre,region_sud,Month Value,Year Value,Vitesse du vent Axa0 100m (m/s),Production éolienne (GWh),Rayonnement solaire global (W/m2),Production solaire (GWh)
0,0,0,2,2014,,6.518965000000001,,2.931509
0,0,1,3,2014,,220.644746,,116.568735
0,0,1,4,2014,,189.563606,,125.730294
0,0,1,4,2014,,9.671714,,98.951709
1,0,0,5,2014,,363.412141,,58.899353000000005
0,1,0,5,2014,,92.91900799999999,,43.046833
0,0,1,7,2014,,9.163458,,121.481425
0,0,1,8,2014,,2.6808680000000003,,14.544107
0,0,1,9,2014,,1.4911809999999999,,12.086627
0,0,0,10,2014,,2.616298,,4.0805940000000005
1,0,0,10,2014,,319.720927,,7.284372
0,1,0,10,2014,,70.08651400000001,,26.350609999999996
1,0,0,11,2014,,344.077186,,13.176289
0,0,1,11,2014,,2.803153,,5.973287
0,1,0,12,2014,,190.018215,,4.193184
1,0,0,12,2014,,135.53223300000002,,2.638403
0,0,1,12,2014,,15.684123000000001,,42.281633
0,1,0,1,2015,,130.956446,,12.736578999999999
0,0,1,1,2015,,12.261986,,54.762102
0,0,0,2,2015,,4.224572,,3.066745
1,0,0,2,2015,,108.136972,,5.538952
1,0,0,2,2015,,395.704364,,5.631488
0,1,0,2,2015,,162.172585,,9.674576
0,0,1,2,2015,,219.18231400000002,,79.766356
0,0,1,2,2015,,66.137766,,33.052793
0,1,0,4,2015,,104.029072,,21.780379999999997
0,0,1,4,2015,,68.631004,,186.20785800000002
0,1,0,5,2015,,51.522071999999994,,25.254782000000002
0,1,0,5,2015,,89.346835,,48.954078
0,1,0,5,2015,,112.731903,,21.560906
0,0,1,5,2015,,234.81027000000003,,181.999314
0,0,0,6,2015,,2.234207,,10.705527
0,1,0,6,2015,,116.778196,,32.939319
1,0,0,6,2015,,307.85535600000003,,65.723507
0,0,1,6,2015,,137.32700400000002,,198.08103799999998
0,0,1,6,2015,,6.622559,,139.670996
0,0,1,8,2015,,154.98298799999998,,181.518348
0,0,1,8,2015,,5.248003,,134.271735
0,0,0,9,2015,,6.4945580000000005,,7.044277
0,1,0,10,2015,,109.17472099999999,,15.017682999999998
0,1,0,10,2015,,45.532717,,13.817745
1,0,0,10,2015,,241.39824,,7.398642999999999
0,0,1,10,2015,,62.48055600000001,,48.915212
0,1,0,11,2015,,89.852593,,9.067798
0,0,1,11,2015,,75.14250200000001,,40.075569
0,0,1,11,2015,,10.178324,,74.950316
0,0,0,1,2016,,9.028172999999999,,1.8236990000000002
0,1,0,1,2016,40.52761133603239,262.37471400000004,7.46696356275303,7.040642999999999
1,0,0,1,2016,37.96080971659918,746.2811389999999,8.295263157894732,5.59614
0,1,0,2,2016,86.44607758620684,164.631573,9.242543103448275,23.337292
0,1,0,2,2016,74.7233189655172,200.313391,9.946336206896554,9.640264
0,0,1,2,2016,86.86538793103442,125.60084599999999,6.508232758620694,116.80529399999999
0,0,0,3,2016,,8.301748,,5.233893
0,1,0,3,2016,135.54433962264142,91.29998499999999,5.854037735849057,17.366192
1,0,0,3,2016,,628.1890860000001,,37.636237
0,1,0,3,2016,136.4586466165413,166.157104,8.219924812030081,36.866791
0,0,1,3,2016,180.42676691729332,11.889273,6.127593984962404,108.94804099999999
0,1,0,4,2016,180.30816666666652,129.406593,5.458416666666663,24.042223
0,1,0,4,2016,177.67191666666668,52.252866,4.816124999999998,19.749758
1,0,0,4,2016,194.43054166666678,382.836578,5.899958333333332,14.948437
0,1,0,4,2016,197.8592916666666,99.271114,6.427416666666662,43.250409000000005
0,0,1,4,2016,195.06150000000005,84.499596,3.809208333333332,75.503668
0,1,0,5,2016,205.90987903225812,62.179598999999996,4.870564516129033,23.467883
0,0,0,8,2016,,3.403228,,9.140944000000001
0,1,0,9,2016,154.32137499999996,66.937475,4.317749999999998,23.582417
1,0,0,9,2016,144.87783333333329,237.458035,4.908333333333336,13.885354999999999
0,0,0,10,2016,,4.345425,,7.305802000000001
0,0,1,10,2016,124.12915322580643,64.475978,3.971733870967741,205.65016599999998
0,0,1,10,2016,126.37201612903222,162.650609,5.90266129032258,153.104145
0,1,0,11,2016,50.99216666666666,221.563981,6.5670833333333265,9.459685
0,0,1,11,2016,73.30645833333331,235.478508,6.631416666666674,80.480923
1,0,0,12,2016,36.01633064516128,388.999503,5.341048387096773,6.281208
0,0,1,12,2016,68.1761693548387,203.223925,5.805161290322581,87.657446
0,0,1,1,2017,73.15407258064516,3.042584,6.8093145161290325,6.535086
0,0,0,2,2017,,7.200450999999999,,2.601717
1,0,0,2,2017,70.01294642857145,149.431019,8.018303571428572,4.967004
0,0,1,2,2017,103.90861607142858,272.70736400000004,7.195267857142858,103.799789
1,0,0,3,2017,119.44854838709679,693.189786,6.839435483870969,10.525768
0,1,0,3,2017,128.93786290322583,171.500322,8.100201612903223,15.513595
0,0,1,3,2017,143.05814516129038,118.50513600000001,5.233790322580645,179.7736
0,0,1,3,2017,179.18012096774189,8.435487,5.627419354838711,117.88373
1,0,0,4,2017,,286.00796,,58.807665
0,0,1,4,2017,239.25212499999995,112.69256000000001,4.610500000000001,295.472147
0,0,1,4,2017,244.96108333333316,261.231087,7.264958333333332,236.645246
0,0,1,4,2017,229.57604166666667,91.423474,4.102708333333334,100.805464
0,1,0,5,2017,240.80399193548402,101.046582,6.313991935483871,60.348804
0,0,1,5,2017,251.71786290322584,98.993337,4.663346774193548,296.290163
0,0,1,5,2017,287.0059677419352,1.995738,4.169153225806451,19.014822
1,0,0,6,2017,266.899625,74.69756,6.001333333333335,18.747543
0,1,0,6,2017,278.1639166666666,80.522465,6.049208333333326,65.79679
0,0,1,6,2017,276.46533333333343,56.895511,3.1525000000000007,112.51737299999999
0,0,1,6,2017,305.2720833333332,5.624480999999999,4.793333333333335,174.600805
0,1,0,8,2017,203.38112903225817,87.33019399999999,5.972217741935482,24.438694
1,0,0,9,2017,,383.92566400000004,,45.987189
0,0,1,9,2017,156.74520833333332,72.902423,4.466916666666665,220.51060299999997
0,0,1,9,2017,169.97429166666657,219.00127799999999,6.0002916666666675,182.795169
0,0,1,9,2017,202.33854166666669,0.383062,4.358458333333334,17.648870000000002
0,0,0,10,2017,,8.528742999999999,,5.151503
0,1,0,10,2017,103.08233870967743,90.71100600000001,4.519193548387096,17.784091
1,0,0,10,2017,89.57266129032259,124.02623200000001,6.689516129032258,8.578184
1,0,0,10,2017,83.93342741935483,595.715908,6.323548387096772,8.476075
0,1,0,10,2017,101.32181451612908,91.006271,6.043911290322581,32.640963
0,1,0,10,2017,93.21322580645158,115.18803500000001,6.649314516129032,12.844928
0,0,1,10,2017,123.18455645161285,86.420262,3.2514112903225785,71.88459300000001
0,1,0,11,2017,54.72087500000001,125.468147,5.681583333333336,8.281668
0,0,1,11,2017,76.57516666666669,107.19898799999999,4.765874999999997,134.500259
1,0,0,12,2017,27.524475806451626,844.1529619999999,7.92459677419355,2.5438
0,1,0,12,2017,33.79040322580644,216.97689300000002,9.037782258064512,5.279824
0,0,0,1,2018,,18.716385,,0.932668
0,1,0,2,2018,89.07415178571434,203.41231200000001,6.827410714285714,13.419007
1,0,0,2,2018,87.83517857142859,753.686479,7.323214285714284,8.529525
1,0,0,2,2018,,613.391926,,57.85683100000001
0,0,1,2,2018,102.81223214285713,293.38522,6.200803571428572,110.77721899999999
1,0,0,3,2018,,674.831414,,72.822182
0,1,0,3,2018,116.84891129032259,212.583964,8.594717741935487,14.819587
0,0,1,3,2018,130.19858870967744,122.12856699999999,4.1503629032258065,72.153349
1,0,0,4,2018,,514.465917,,100.534849
0,0,1,4,2018,211.5992083333332,102.613497,3.8408333333333338,101.879603
0,1,0,5,2018,244.77758064516118,104.559225,4.91181451612903,39.134944
0,1,0,5,2018,248.88229838709682,97.439704,5.86915322580645,30.596171999999996
0,0,1,5,2018,239.297379032258,0.48391000000000006,3.820967741935485,16.949973999999997
0,1,0,6,2018,257.4394583333335,78.26102900000001,5.532208333333331,67.64641
0,0,1,6,2018,257.39812499999994,109.012616,4.404666666666665,366.975139
0,0,1,6,2018,270.71970833333324,189.974672,5.014708333333334,272.88327999999996
0,0,1,6,2018,288.69258333333335,0.46353,3.5802499999999986,20.653923000000002
0,1,0,7,2018,273.04862903225813,47.499869,3.6147580645161312,41.924828999999995
