Mois,Région,Production éolienne (GWh),Production solaire (GWh)
2014-02,Île-de-France,6.518965,2.931509
2014-03,Occitanie,220.644746,116.568735
2014-04,Occitanie,189.563606,125.730294
2014-04,Provence-Alpes-Côte d'Azur,9.671714,98.951709
2014-05,Grand Est,363.412141,58.899353
2014-05,Pays de la Loire,92.919008,43.046833
2014-07,Provence-Alpes-Côte d'Azur,9.163458,121.481425
2014-08,Corse,2.680868,14.544107
2014-09,Corse,1.491181,12.086627
2014-10,Île-de-France,2.616298,4.080594
2014-10,Hauts-de-France,319.720927,7.284372
2014-10,Pays de la Loire,70.086514,26.35061
2014-11,Grand Est,344.077186,13.176289
2014-11,Corse,2.803153,5.973287
2014-12,Centre-Val de Loire,190.018215,4.193184
2014-12,Normandie,135.532233,2.638403
2014-12,Provence-Alpes-Côte d'Azur,15.684123,42.281633
2015-01,Pays de la Loire,130.956446,12.736579
2015-01,Provence-Alpes-Côte d'Azur,12.261986,54.762102
2015-02,Île-de-France,4.224572,3.066745
2015-02,Normandie,108.136972,5.538952
2015-02,Hauts-de-France,395.704364,5.631488
2015-02,Bretagne,162.172585,9.674576
2015-02,Occitanie,219.182314,79.766356
2015-02,Auvergne-Rhône-Alpes,66.137766,33.052793
2015-04,Bretagne,104.029072,21.78038
2015-04,Nouvelle-Aquitaine,68.631004,186.207858
2015-05,Bourgogne-Franche-Comté,51.522072,25.254782
2015-05,Pays de la Loire,89.346835,48.954078
2015-05,Bretagne,112.731903,21.560906
2015-05,Occitanie,234.81027,181.999314
2015-06,Île-de-France,2.234207,10.705527
2015-06,Centre-Val de Loire,116.778196,32.939319
2015-06,Grand Est,307.855356,65.723507
2015-06,Occitanie,137.327004,198.081038
2015-06,Provence-Alpes-Côte d'Azur,6.622559,139.670996
2015-08,Occitanie,154.982988,181.518348
2015-08,Provence-Alpes-Côte d'Azur,5.248003,134.271735
2015-09,Île-de-France,6.494558,7.044277
2015-10,Centre-Val de Loire,109.174721,15.017683
2015-10,Bourgogne-Franche-Comté,45.532717,13.817745
2015-10,Hauts-de-France,241.39824,7.398643
2015-10,Auvergne-Rhône-Alpes,62.480556,48.915212
2015-11,Bourgogne-Franche-Comté,89.852593,9.067798
2015-11,Auvergne-Rhône-Alpes,75.142502,40.075569
2015-11,Provence-Alpes-Côte d'Azur,10.178324,74.950316
2016-01,Île-de-France,9.028173,1.823699
2016-01,Centre-Val de Loire,262.374714,7.040643
2016-01,Hauts-de-France,746.281139,5.59614
2016-02,Pays de la Loire,164.631573,23.337292
2016-02,Bretagne,200.313391,9.640264
2016-02,Nouvelle-Aquitaine,125.600846,116.805294
2016-03,Île-de-France,8.301748,5.233893
2016-03,Bourgogne-Franche-Comté,91.299985,17.366192
2016-03,Grand Est,628.189086,37.636237
2016-03,Pays de la Loire,166.157104,36.866791
2016-03,Provence-Alpes-Côte d'Azur,11.889273,108.948041
2016-04,Centre-Val de Loire,129.406593,24.042223
2016-04,Bourgogne-Franche-Comté,52.252866,19.749758
2016-04,Hauts-de-France,382.836578,14.948437
2016-04,Pays de la Loire,99.271114,43.250409
2016-04,Auvergne-Rhône-Alpes,84.499596,75.503668
2016-05,Bourgogne-Franche-Comté,62.179599,23.467883
2016-08,Île-de-France,3.403228,9.140944
2016-09,Centre-Val de Loire,66.937475,23.582417
2016-09,Hauts-de-France,237.458035,13.885355
2016-10,Île-de-France,4.345425,7.305802
2016-10,Nouvelle-Aquitaine,64.475978,205.650166
2016-10,Occitanie,162.650609,153.104145
2016-11,Centre-Val de Loire,221.563981,9.459685
2016-11,Occitanie,235.478508,80.480923
2016-12,Hauts-de-France,388.999503,6.281208
2016-12,Occitanie,203.223925,87.657446
2017-01,Corse,3.042584,6.535086
2017-02,Île-de-France,7.200451,2.601717
2017-02,Normandie,149.431019,4.967004
2017-02,Occitanie,272.707364,103.799789
2017-03,Hauts-de-France,693.189786,10.525768
2017-03,Bretagne,171.500322,15.513595
2017-03,Nouvelle-Aquitaine,118.505136,179.7736
2017-03,Provence-Alpes-Côte d'Azur,8.435487,117.88373
2017-04,Grand Est,286.00796,58.807665
2017-04,Nouvelle-Aquitaine,112.69256,295.472147
2017-04,Occitanie,261.231087,236.645246
2017-04,Auvergne-Rhône-Alpes,91.423474,100.805464
2017-05,Pays de la Loire,101.046582,60.348804
2017-05,Nouvelle-Aquitaine,98.993337,296.290163
2017-05,Corse,1.995738,19.014822
2017-06,Normandie,74.69756,18.747543
2017-06,Pays de la Loire,80.522465,65.79679
2017-06,Auvergne-Rhône-Alpes,56.895511,112.517373
2017-06,Provence-Alpes-Côte d'Azur,5.624481,174.600805
2017-08,Bretagne,87.330194,24.438694
2017-09,Grand Est,383.925664,45.987189
2017-09,Nouvelle-Aquitaine,72.902423,220.510603
2017-09,Occitanie,219.001278,182.795169
2017-09,Corse,0.383062,17.64887
2017-10,Île-de-France,8.528743,5.151503
2017-10,Bourgogne-Franche-Comté,90.711006,17.784091
2017-10,Normandie,124.026232,8.578184
2017-10,Hauts-de-France,595.715908,8.476075
2017-10,Pays de la Loire,91.006271,32.640963
2017-10,Bretagne,115.188035,12.844928
2017-10,Auvergne-Rhône-Alpes,86.420262,71.884593
2017-11,Bourgogne-Franche-Comté,125.468147,8.281668
2017-11,Nouvelle-Aquitaine,107.198988,134.500259
2017-12,Hauts-de-France,844.152962,2.5438
2017-12,Bretagne,216.976893,5.279824
2018-01,Île-de-France,18.716385,0.932668
2018-02,Centre-Val de Loire,203.412312,13.419007
2018-02,Hauts-de-France,753.686479,8.529525
2018-02,Grand Est,613.391926,57.856831
2018-02,Occitanie,293.38522,110.777219
2018-03,Grand Est,674.831414,72.822182
2018-03,Bretagne,212.583964,14.819587
